#{"t_start": 1759916674.239432, "env_id": "None"}
r,l,t
1376.690382,500,4413.519735
1036.675462,500,4414.409451
1376.691681,500,4415.292476
1036.513673,500,4416.193581
1376.699018,500,4418.682393
1000.214389,500,4419.573748
1000.234203,500,4420.453051
1036.038494,500,4421.335665
1117.5283,500,4423.831625
1376.698282,500,4424.715945
1376.697813,500,4425.597897
1036.8204,500,4426.495551
1000.225304,500,4432.57995
1376.689179,500,4433.465166
1000.235387,500,4434.342488
1117.581652,500,4435.225449
1000.232482,500,4437.689415
1036.77243,500,4438.582567
1036.830896,500,4439.451271
1117.545107,500,4440.344323
1117.571854,500,4442.833284
1117.573275,500,4443.723833
1117.570557,500,4444.597649
1376.693432,500,4445.487312
1000.214799,500,4447.977763
1117.562147,500,4448.868715
1117.543036,500,4449.763519
1117.417643,500,4450.663393
1000.236902,500,4453.12963
1376.691136,500,4454.018557
1000.19804,500,4454.90326
1000.192227,500,4455.786734
1376.693564,500,4458.235559
1376.660252,500,4459.126899
1376.600862,500,4460.005612
1117.594363,500,4460.912721
1117.580001,500,4463.354004
1117.574675,500,4464.244864
1000.231857,500,4468.713301
1000.231507,500,4469.620492
1117.407276,500,4470.495946
1036.817032,500,4472.956153
1000.227644,500,4473.83238
1036.816536,500,4474.719589
1000.19219,500,4475.59362
1376.689432,500,4478.07294
1000.219748,500,4478.956622
1117.486448,500,4479.841125
1036.832113,500,4480.725481
1376.582013,500,4483.22667
1000.148543,500,4484.110078
1000.167854,500,4484.997701
1000.146484,500,4485.882924
1036.844828,500,4488.353501
1036.670564,500,4489.229052
1036.757122,500,4490.120891
1036.538844,500,4490.993819
1000.206134,500,4493.486292
1000.23005,500,4494.360598
1036.840697,500,4495.248313
1036.843696,500,4496.122518
1117.578301,500,4498.604618
1000.205137,500,4499.496707
1376.677244,500,4503.974742
1036.823397,500,4504.857471
1036.686805,500,4507.404563
1117.514832,500,4508.297661
1376.693371,500,4509.181643
1117.555833,500,4510.055308
1036.827862,500,4512.5159
1036.822453,500,4513.409859
1117.493055,500,4514.296466
1036.694493,500,4515.18242
1036.830406,500,4517.655212
1000.213572,500,4518.5382
1376.694202,500,4519.431293
1036.476595,500,4520.306933
1000.185268,500,4522.793097
1117.452213,500,4523.670835
1376.677466,500,4524.572585
1117.554901,500,4525.445787
1036.255701,500,4527.942031
1117.491262,500,4528.829153
1117.522299,500,4529.72606
1036.820567,500,4530.598994
1000.174637,500,4531.499995
1000.222733,500,4533.979751
1376.680675,500,4534.870857
1000.22979,500,4535.75906
1376.690645,500,4540.238719
1117.293981,500,4543.405276
1036.827082,500,4544.302215
1000.210733,500,4545.178801
1000.202552,500,4546.072117
1036.689483,500,4548.909105
1376.697545,500,4549.832961
1117.416609,500,4550.75038
1036.825924,500,4551.668779
1000.186278,500,4554.147304
1000.198104,500,4555.052897
1376.635086,500,4555.948951
1036.812984,500,4556.850669
1117.565498,500,4559.347913
1117.441056,500,4560.270915
